H157892-101001021684,"2014-02-07 16:56:48","2014-02-10 12:21:27",2.8087847222222
H157929-101001021837,"2014-02-07 22:13:24","2014-02-10 12:13:27",2.5833680555556
H158051-101001022216,"2014-02-08 23:53:07","2014-02-10 12:08:43",1.5108333333333
H158096-101001022371,"2014-02-09 12:29:07","2014-02-10 11:12:20",0.94667824074074
H158110-101001022409,"2014-02-09 14:01:38","2014-02-10 11:44:40",0.90488425925926
H158189-101001022857,"2014-02-10 10:01:22","2014-02-12 08:38:35",1.9425115740741
H158190-101001022860,"2014-02-10 10:02:54","2014-02-12 08:33:59",1.9382523148148
H158193-101001022869,"2014-02-10 10:08:20","2014-02-12 08:32:42",1.933587962963
H158418-101001024061,"2014-02-11 13:20:33","2014-02-13 09:53:13",1.8560185185185
H158424-101001024089,"2014-02-11 13:52:45","2014-02-13 09:55:24",1.8351736111111
H158494-101001024400,"2014-02-12 04:37:51","2014-02-13 09:56:23",1.2212037037037
H158572-101001024846,"2014-02-12 12:25:04","2014-02-13 08:00:32",0.8162962962963
H158597-101001024968,"2014-02-12 14:10:10","2014-02-13 08:02:12",0.74446759259259
H158605-101001024995,"2014-02-12 14:39:54","2014-02-13 10:03:12",0.80784722222222
H158613-101001025068,"2014-02-12 15:40:53","2014-02-13 08:04:45",0.68324074074074
H158614-101001025083,"2014-02-12 16:05:44","2014-02-13 08:14:00",0.67240740740741
H158844-101001026966,"2014-02-14 11:47:16","2014-02-19 11:09:16",4.9736111111111
H158852-101001026998,"2014-02-14 12:10:04","2014-02-19 11:08:34",4.9572916666667
H158974-101001027437,"2014-02-14 19:58:40","2014-02-19 11:20:47",4.6403587962963
H159007-101001027611,"2014-02-15 09:31:22","2014-02-19 11:24:38",4.0786574074074
H159102-101001028026,"2014-02-15 23:18:20","2014-02-19 11:44:03",3.5178587962963
H159272-101001028758,"2014-02-17 13:53:27","2014-02-19 11:15:11",1.8900925925926
